number,target
248,0
911,1
315,1
677,1
415,1
464,0
476,0
808,0
313,1
679,1
795,1
637,1
446,0
679,1
495,1
119,1
518,0
688,0
583,1
262,0
624,0
668,0
184,0
374,0
788,0
363,1
209,1
446,0
744,0
233,1
556,0
947,1
139,1
848,0
639,1
581,1
385,1
132,0
908,0
331,1
623,1
303,1
563,1
535,1
898,0
232,0
829,1
617,1
340,0
463,1
826,0
317,1
361,1
671,1
844,0
299,1
742,0
565,1
267,1
811,1
616,0
173,1
192,0
298,0
505,1
681,1
889,1
972,0
467,1
833,1
935,1
160,0
124,0
516,0
718,0
299,1
742,0
730,0
726,0
984,0
528,0
836,0
444,0
749,1
436,0
395,1
454,0
937,1
575,1
607,1
179,1
257,1
972,0
665,1
758,0
544,0
446,0
773,1
440,0
177,1
262,0
706,0
867,1
793,1
722,0
491,1
343,1
708,0
426,0
755,1
666,0
622,0
348,0
937,1
699,1
249,1
348,0
352,0
293,1
326,0
563,1
399,1
265,1
418,0
236,0
245,1
441,1
492,0
706,0
955,1
325,1
307,1
128,0
381,1
724,0
621,1
851,1
329,1
224,0
876,0
776,0
664,0
821,1
285,1
733,1
568,0
751,1
842,0
182,0
705,1
509,1
939,1
854,0
532,0
661,1
874,0
285,1
713,1
729,1
506,0
291,1
92,0
667,1
106,0
781,1
641,1
121,1
537,1
512,0
898,0
443,1
900,0
769,1
334,0
563,1
770,0
133,1
890,0
934,0
649,1
331,1
437,1
189,1
743,1
110,0
746,0
636,0
481,1
873,1
990,0
486,0
219,1
724,0
381,1
864,0
968,0
436,0
133,1
621,1
795,1
278,0
124,0
556,0
973,1
772,0
377,1
886,0
1000,0
928,0
899,1
502,0
806,0
193,1
931,1
135,1
902,0
124,0
827,1
978,0
923,1
235,1
640,0
631,1
973,1
545,1
539,1
899,1
690,0
930,0
483,1
253,1
600,0
799,1
877,1
276,0
225,1
423,1
308,0
404,0
298,0
283,1
969,1
701,1
870,0
600,0
702,0
905,1
457,1
984,0
569,1
886,0
95,1
834,0
117,1
287,1
910,0
95,1
632,0
220,0
924,0
218,0
236,0
224,0
206,0
854,0
388,0
359,1
941,1
323,1
466,0
100,0
305,1
202,0
573,1
641,1
362,0
300,0
138,0
347,1
614,0
143,1
893,1
907,1
568,0
867,1
848,0
926,0
339,1
871,1
876,0
224,0
156,0
655,1
843,1
352,0
779,1
485,1
373,1
164,0
177,1
446,0
880,0
216,0
957,1
184,0
467,1
300,0
675,1
585,1
345,1
228,0
592,0
428,0
594,0
479,1
425,1
381,1
396,0
207,1
921,1
383,1
957,1
676,0
173,1
376,0
274,0
731,1
196,0
635,1
159,1
410,0
985,1
919,1
671,1
128,0
447,1
118,0
752,0
161,1
876,0
823,1
817,1
232,0
778,0
976,0
597,1
329,1
307,1
779,1
711,1
925,1
941,1
367,1
965,1
309,1
847,1
383,1
984,0
247,1
570,0
515,1
502,0
133,1
409,1
456,0
754,0
703,1
850,0
922,0
806,0
543,1
773,1
979,1
688,0
367,1
374,0
807,1
676,0
893,1
143,1
178,0
575,1
599,1
265,1
591,1
256,0
277,1
669,1
234,0
691,1
828,0
721,1
452,0
148,0
213,1
443,1
183,1
653,1
460,0
758,0
262,0
339,1
672,0
941,1
148,0
454,0
414,0
637,1
473,1
392,0
812,0
515,1
369,1
759,1
482,0
604,0
260,0
558,0
176,0
864,0
474,0
524,0
711,1
368,0
194,0
383,1
161,1
229,1
399,1
319,1
476,0
431,1
836,0
197,1
734,0
691,1
680,0
271,1
381,1
559,1
166,0
803,1
293,1
500,0
843,1
498,0
810,0
581,1
450,0
205,1
725,1
832,0
768,0
240,0
360,0
456,0
674,0
169,1
543,1
243,1
261,1
857,1
441,1
239,1
347,1
670,0
493,1
921,1
683,1
167,1
969,1
146,0
305,1
728,0
217,1
400,0
335,1
587,1
