input1;input2;target
4414;9628;14042
6639;3626;10265
436;5954;6390
952;1718;2670
6704;7714;14418
3846;3434;7280
7619;8610;16229
198;2873;3071
7518;7380;14898
3093;2821;5914
7169;9030;16199
1594;8241;9835
4481;2280;6761
5501;9648;15149
2888;8532;11420
3814;746;4560
3426;4095;7521
9856;9771;19627
2687;8855;11542
5525;9656;15181
1719;1987;3706
9346;8790;18136
1141;1951;3092
8448;9842;18290
531;1195;1726
4156;7884;12040
3843;1726;5569
3817;4879;8696
1202;4953;6155
2606;2354;4960
6285;2758;9043
7169;1435;8604
8310;7513;15823
1202;1769;2971
6496;404;6900
6520;166;6686
5349;3276;8625
337;9408;9745
9626;5815;15441
8930;5747;14677
1349;513;1862
7312;649;7961
1878;8024;9902
2358;5856;8214
8300;2804;11104
8778;5364;14142
6168;1758;7926
4699;8043;12742
4910;5082;9992
9685;4917;14602
6370;2541;8911
3069;3029;6098
2713;483;3196
721;840;1561
4695;7682;12377
8935;4027;12962
1051;8416;9467
1254;2962;4216
9727;2945;12672
9361;7438;16799
3938;6677;10615
7528;2208;9736
6764;670;7434
3934;8108;12042
6192;1110;7302
8915;8360;17275
5121;6148;11269
6811;2306;9117
3397;1697;5094
6527;5194;11721
686;8381;9067
5661;3241;8902
9868;3581;13449
1944;4803;6747
8150;849;8999
4425;592;5017
7086;7106;14192
1255;1586;2841
4091;3603;7694
1395;9443;10838
9143;518;9661
3311;651;3962
5138;8387;13525
2258;4432;6690
9331;6210;15541
1512;8186;9698
463;819;1282
6150;456;6606
3098;2654;5752
5094;5647;10741
7916;4228;12144
6212;3482;9694
333;7589;7922
1732;3906;5638
4618;491;5109
4817;1299;6116
6001;8446;14447
9939;5290;15229
2678;3724;6402
9101;1482;10583
65;762;827
1066;2026;3092
6814;2317;9131
2748;1870;4618
3870;4283;8153
8400;2394;10794
4749;4510;9259
1722;9735;11457
9127;3017;12144
8940;6739;15679
3409;8120;11529
2517;6928;9445
3209;401;3610
9182;1422;10604
7465;347;7812
9733;4036;13769
7026;9438;16464
3325;2183;5508
7321;3963;11284
1907;4239;6146
